# Arlo U. Landolt
# UBVRI PHOTOMETRIC STANDARD STARS AROUND THE CELESTIAL EQUATOR: UPDATES AND ADDITIONS
# Astron.J.137:4186,2009
# https://arxiv.org/abs/0904.0638
#
# STAR       Star
# RA_2000    alpha (J2000.0)
# DEC_2000   delta (J2000.0)
# MAG_V      V
# MAG_BV     B-V
# MAG_UB     U-B
# MAG_VR     V-R
# MAG_RI     R-I
# MAG_VI     V-I
# NOB        number of observation
# NNI        number of nights
# ERR_V      mean error of V
# ERR_BV     mean error of B-V
# ERR_UB     mean error of U-B
# ERR_VR     mean error of V-R
# ERR_RI     mean error of R-I
# ERR_VI     mean error of V-I
FIELD_NAME      STAR	       RA_2000          DEC_2000        MAG_V    MAG_BV   MAG_UB   MAG_VR   MAG_RI   MAG_VI   NOB   NNI    ERR_V     ERR_BV    ERR_UB    ERR_VR	   ERR_RI    ERR_VI
SA93            93_333         01:55:05.218     +00:45:42.57    12.009   +0.833   +0.436   +0.469   +0.422   +0.892    54    44    0.0009    0.0012    0.0021    0.0007    0.0009    0.0009    
SA93            93_424         01:55:26.364     +00:56:42.63    11.619   +1.083   +0.929   +0.553   +0.501   +1.056    55    44    0.0006    0.0010    0.0018    0.0006    0.0005    0.0006    
-               G3_33          02:00:12.959     +13:03:07.01    12.298   +1.802   +1.306   +1.355   +1.752   +3.103    13     7    0.0032    0.0034    0.0098    0.0033    0.0017    0.0037    
PG0220+132      PG0220+132B    02:23:33.863     +13:28:03.98    14.216   +0.937   +0.319   +0.562   +0.496   +1.058     3     2    0.0081    0.0375    0.0583    0.0058    0.0127    0.0069    
PG0220+132      PG0220+132     02:23:38.419     +13:27:34.70    14.760   -0.132   -0.922   -0.050   -0.120   -0.170     5     3    0.0063    0.0112    0.0103    0.0098    0.0170    0.0264    
PG0220+132      PG0220+132A    02:23:39.989     +13:27:29.89    15.771   +0.783   -0.339   +0.514   +0.481   +0.995     3     2    0.0150    0.0699    0.0537    0.0110    0.0589    0.0479    
-               F_22           02:30:16.627     +05:15:50.70    12.798   -0.052   -0.809   -0.103   -0.105   -0.206    80    70    0.0009    0.0007    0.0015    0.0007    0.0013    0.0013    
PG0231+051      PG0231+051E    02:33:28.872     +05:19:48.38    13.809   +0.677   +0.207   +0.383   +0.369   +0.752    15     8    0.0019    0.0014    0.0019    0.0006    0.0013    0.0019    
PG0231+051      PG0231+051D    02:33:34.00      +05:19:30.9     14.031   +1.077   +1.026   +0.671   +0.584   +1.252    19    11    0.0018    0.0022    0.0081    0.0011    0.0029    0.0034    
PG0231+051      PG0231+051A    02:33:40.067     +05:17:40.68    12.768   +0.711   +0.271   +0.405   +0.388   +0.794    16    10    0.0004    0.0011    0.0007    0.0005    0.0015    0.0017    
PG0231+051      PG0231+051     02:33:41.360     +05:18:43.63    16.096   -0.320   -1.214   -0.144   -0.373   -0.502    33    18    0.0055    0.0057    0.0028    0.0117    0.0627    0.0654    
PG0231+051      PG0231+051B    02:33:45.528     +05:17:33.30    14.732   +1.437   +1.279   +0.951   +0.991   +1.933    26    14    0.0017    0.0049    0.0119    0.0007    0.0015    0.0022    
PG0231+051      PG0231+051C    02:33:48.153     +05:20:26.36    13.707   +0.678   +0.078   +0.396   +0.385   +0.783    16     9    0.0009    0.0019    0.0011    0.0007    0.0012    0.0019    
F_24            F_24           02:35:07.592     +03:43:56.79    12.412   -0.203   -1.182   +0.087   +0.361   +0.444   128   115    0.0010    0.0006    0.0017    0.0008    0.0010    0.0008    
F_24            F_24A          02:35:16.611     +03:43:16.78    13.822   +0.525   +0.034   +0.314   +0.319   +0.635    20    10    0.0016    0.0025    0.0036    0.0016    0.0026    0.0031    
F_24            F_24B          02:35:18.333     +03:42:40.37    13.546   +0.668   +0.188   +0.382   +0.367   +0.749    19    10    0.0018    0.0020    0.0035    0.0015    0.0021    0.0020    
F_24            F_24C          02:35:26.318     +03:41:50.41    11.761   +1.133   +1.007   +0.598   +0.535   +1.127    18     9    0.0015    0.0012    0.0036    0.0005    0.0011    0.0008    
SA94            94_171         02:53:38.805     +00:17:18.60    12.659   +0.817   +0.304   +0.480   +0.483   +0.964    18     9    0.0028    0.0035    0.0045    0.0035    0.0019    0.0038    
SA94            94_296         02:55:19.985     +00:28:11.99    12.255   +0.750   +0.235   +0.415   +0.387   +0.803     2     1    0.0021    0.0014    0.0014    0.0021    0.0021    -         
SA94            94_394         02:56:14.276     +00:35:11.57    12.273   +0.545   -0.047   +0.344   +0.330   +0.676     2     1    0.0028    0.0014    0.0014    0.0007    0.0014    0.0007    
SA94            94_401         02:56:30.800     +00:40:06.88    14.293   +0.638   +0.098   +0.389   +0.369   +0.759     2     1    0.0014    0.0028    0.0120    0.0064    0.0035    0.0099    
SA94            94_242         02:57:21.211     +00:18:38.67    11.725   +0.303   +0.110   +0.176   +0.184   +0.362   123   116    0.0005    0.0005    0.0012    0.0005    0.0006    0.0007    
-               BD_-2_524      02:57:39.679     -01:59:48.58    10.304   -0.111   -0.621   -0.048   -0.060   -0.108    88    78    0.0006    0.0006    0.0019    0.0004    0.0006    0.0006    
SA94            94_251         02:57:46.982     +00:16:02.72    11.204   +1.219   +1.281   +0.659   +0.586   +1.245   115   107    0.0005    0.0006    0.0018    0.0003    0.0004    0.0005    
SA94            94_702         02:58:13.362     +01:10:54.30    11.597   +1.416   +1.617   +0.757   +0.675   +1.431   114   106    0.0006    0.0007    0.0028    0.0004    0.0004    0.0005    
-               GD_50          03:48:50.19      -00:58:32.0     14.063   -0.276   -1.191   -0.147   -0.180   -0.325    47    28    0.0032    0.0036    0.0051    0.0042    0.0079    0.0102    
SA95            95_15          03:52:40.330     -00:05:22.77    11.302   +0.712   +0.157   +0.424   +0.385   +0.809     2     1    0.0007    0.0007    0.0035    0.0014    0.0014    0.0028    
SA95            95_16          03:52:40.63      -00:05:05.6     14.313   +1.306   +1.322   +0.796   +0.676   +1.472     4     2    0.0120    0.0160    0.0310    0.0135    0.0060    0.0090    
SA95            95_301         03:52:41.167     +00:31:21.44    11.216   +1.293   +1.298   +0.692   +0.620   +1.311    51    44    0.0012    0.0005    0.0020    0.0005    0.0007    0.0012    
SA95            95_302         03:52:42.176     +00:31:17.71    11.694   +0.825   +0.447   +0.471   +0.420   +0.891    29    20    0.0020    0.0015    0.0056    0.0013    0.0011    0.0017    
SA95            95_96          03:52:54.194     +00:00:18.82    10.010   +0.147   +0.077   +0.079   +0.095   +0.174    71    56    0.0015    0.0012    0.0027    0.0010    0.0011    0.0013    
SA95            95_97          03:52:57.503     -00:00:19.28    14.818   +0.906   +0.380   +0.522   +0.546   +1.068     2     1    0.0007    0.0226    0.0212    0.0028    0.0191    0.0212    
SA95            95_98          03:53:00.23      +00:02:48.4     14.448   +1.181   +1.092   +0.723   +0.620   +1.342     2     1    0.0007    0.0014    0.0177    0.0092    0.0071    0.0163    
SA95            95_100         03:53:00.791     +00:00:15.81    15.633   +0.791   +0.051   +0.538   +0.421   +0.961     3     1    0.0283    0.0785    0.1132    0.0144    0.0572    0.0439    
SA95            95_101         03:53:04.14      +00:02:49.5     12.677   +0.778   +0.263   +0.436   +0.426   +0.863     2     1    0.0028    0.0028    0.0099    0.0064    0.0064    0.0120    
